     bookmaker       |       odd_home       |       odd_draw       |     odd_visitor      |     fk_id_match     
       10Bet         |         1.90         |         2.85         |         3.75         |          1          
       1xBet         |         1.99         |         3.14         |         3.76         |          1          
      Betfair        |         1.91         |         2.90         |         4.00         |          1          
      Betsafe        |         1.87         |         3.20         |         4.00         |          1          
      Betsson        |         1.87         |         3.20         |         4.00         |          1          
     BetVictor       |         1.93         |         3.00         |         4.00         |          1          
       ComeOn        |         1.90         |         2.85         |         3.75         |          1          
    Interwetten      |         1.90         |         3.00         |         4.10         |          1          
      Pinnacle       |         1.89         |         3.20         |         4.20         |          1          
    William Hill     |         1.85         |         2.90         |         4.20         |          1          
       10Bet         |         1.37         |         4.90         |         7.50         |          2          
       188BET        |         1.38         |         4.50         |         7.30         |          2          
       1xBet         |         1.38         |         4.70         |         7.70         |          2          
      888sport       |         1.36         |         4.50         |         8.00         |          2          
    bet-at-home      |         1.37         |         4.40         |         7.00         |          2          
       bet365        |         1.40         |         4.33         |         7.00         |          2          
      Betfair        |         1.36         |         4.50         |         8.00         |          2          
      Betsafe        |         1.38         |         4.75         |         7.50         |          2          
      Betsson        |         1.38         |         4.75         |         7.50         |          2          
     BetVictor       |         1.40         |         4.60         |         8.00         |          2          
       Betway        |         1.36         |         4.50         |         7.00         |          2          
        bwin         |         1.42         |         4.50         |         7.25         |          2          
       ComeOn        |         1.37         |         4.90         |         7.50         |          2          
    Interwetten      |         1.40         |         4.70         |         7.50         |          2          
      Pinnacle       |         1.39         |         4.93         |         8.63         |          2          
       SBOBET        |         1.38         |         4.55         |         6.38         |          2          
       Unibet        |         1.36         |         4.50         |         8.00         |          2          
    William Hill     |         1.36         |         4.40         |         9.00         |          2          
       youwin        |         1.38         |         5.00         |         7.75         |          2          
  Betfair Exchange   |         1.42         |         4.71         |         8.79         |          2          
       10Bet         |         2.40         |         3.20         |         2.95         |          3          
       188BET        |         2.35         |         3.20         |         2.92         |          3          
       1xBet         |         2.41         |         3.34         |         2.96         |          3          
      888sport       |         2.38         |         3.15         |         2.90         |          3          
    bet-at-home      |         2.35         |         3.05         |         2.85         |          3          
       bet365        |         2.40         |         3.50         |         2.75         |          3          
      Betfair        |         2.38         |         3.25         |         2.90         |          3          
      Betsafe        |         2.35         |         3.25         |         2.95         |          3          
      Betsson        |         2.35         |         3.25         |         2.95         |          3          
     BetVictor       |         2.45         |         3.25         |         2.90         |          3          
       Betway        |         2.25         |         3.10         |         3.00         |          3          
        bwin         |         2.30         |         3.20         |         3.00         |          3          
       ComeOn        |         2.40         |         3.20         |         2.95         |          3          
    Interwetten      |         2.45         |         3.15         |         2.90         |          3          
      Pinnacle       |         2.47         |         3.29         |         3.09         |          3          
       SBOBET        |         2.33         |         3.06         |         2.82         |          3          
       Unibet        |         2.38         |         3.15         |         2.90         |          3          
    William Hill     |         2.70         |         3.25         |         2.55         |          3          
       youwin        |         2.35         |         3.20         |         2.95         |          3          
  Betfair Exchange   |         2.43         |         3.38         |         3.00         |          3          
       10Bet         |         2.25         |         3.00         |         3.40         |          4          
       188BET        |         2.28         |         2.94         |         3.30         |          4          
       1xBet         |         2.32         |         3.14         |         3.38         |          4          
      888sport       |         2.25         |         3.00         |         3.25         |          4          
    bet-at-home      |         2.23         |         2.85         |         3.35         |          4          
       bet365        |         2.20         |         3.00         |         3.50         |          4          
      Betfair        |         2.25         |         2.90         |         3.50         |          4          
      Betsafe        |         2.30         |         2.95         |         3.40         |          4          
      Betsson        |         2.30         |         2.95         |         3.40         |          4          
     BetVictor       |         2.30         |         3.00         |         3.50         |          4          
       Betway        |         2.15         |         2.88         |         3.50         |          4          
        bwin         |         2.15         |         2.90         |         3.70         |          4          
       ComeOn        |         2.25         |         3.00         |         3.45         |          4          
    Interwetten      |         2.30         |         2.90         |         3.30         |          4          
      Pinnacle       |         2.35         |         2.99         |         3.67         |          4          
       SBOBET        |         2.30         |         2.87         |         3.11         |          4          
       Unibet        |         2.25         |         3.00         |         3.25         |          4          
    William Hill     |         2.35         |         3.10         |         3.10         |          4          
       youwin        |         2.25         |         2.95         |         3.40         |          4          
  Betfair Exchange   |         2.31         |         3.00         |         3.66         |          4          
       10Bet         |         3.15         |         3.05         |         2.35         |          5          
       188BET        |         3.05         |         3.00         |         2.38         |          5          
       1xBet         |         3.02         |         3.20         |         2.42         |          5          
      888sport       |         3.05         |         3.00         |         2.35         |          5          
    bet-at-home      |         3.10         |         2.90         |         2.33         |          5          
       bet365        |         3.00         |         3.00         |         2.30         |          5          
      Betfair        |         3.20         |         3.00         |         2.30         |          5          
      Betsafe        |         3.10         |         3.00         |         2.40         |          5          
      Betsson        |         3.10         |         3.00         |         2.40         |          5          
     BetVictor       |         3.20         |         3.10         |         2.38         |          5          
       Betway        |         2.90         |         3.00         |         2.38         |          5          
        bwin         |         3.40         |         3.10         |         2.20         |          5          
       ComeOn        |         3.20         |         3.10         |         2.35         |          5          
    Interwetten      |         3.10         |         2.95         |         2.35         |          5          
      Pinnacle       |         3.31         |         3.12         |         2.44         |          5          
       SBOBET        |         3.06         |         2.91         |         2.27         |          5          
       Unibet        |         3.05         |         3.00         |         2.35         |          5          
    William Hill     |         2.88         |         3.00         |         2.55         |          5          
       youwin        |         3.10         |         3.10         |         2.35         |          5          
  Betfair Exchange   |         3.28         |         3.19         |         2.37         |          5          
       10Bet         |         2.25         |         3.35         |         2.50         |          6          
       188BET        |         2.21         |         3.90         |         2.44         |          6          
       1xBet         |         2.27         |         3.72         |         2.64         |          6          
      888sport       |         2.25         |         4.00         |         2.50         |          6          
    bet-at-home      |         2.20         |         3.85         |         2.40         |          6          
      Betfair        |         2.20         |         3.75         |         2.55         |          6          
       Betway        |         2.30         |         3.75         |         2.50         |          6          
        bwin         |         2.20         |         3.70         |         2.45         |          6          
       ComeOn        |         2.25         |         3.35         |         2.50         |          6          
      Pinnacle       |         2.27         |         3.91         |         2.61         |          6          
       SBOBET        |         2.32         |         3.11         |         2.54         |          6          
       Unibet        |         2.25         |         4.00         |         2.50         |          6          
       youwin        |         2.35         |         3.70         |         2.70         |          6          
       10Bet         |         4.75         |         4.50         |         1.43         |          7          
       1xBet         |         5.05         |         5.00         |         1.46         |          7          
      888sport       |         4.50         |         4.33         |         1.57         |          7          
    bet-at-home      |         4.50         |         4.50         |         1.45         |          7          
      Betfair        |         5.00         |         4.40         |         1.44         |          7          
     BetVictor       |         6.00         |         4.40         |         1.40         |          7          
       Betway        |         5.00         |         4.50         |         1.48         |          7          
        bwin         |         4.75         |         4.20         |         1.49         |          7          
       ComeOn        |         4.75         |         4.50         |         1.43         |          7          
      Pinnacle       |         6.41         |         5.10         |         1.38         |          7          
       SBOBET        |         4.46         |         4.55         |         1.43         |          7          
       Unibet        |         4.50         |         4.33         |         1.57         |          7          
       youwin        |         5.00         |         4.50         |         1.58         |          7          
       10Bet         |         2.50         |         2.70         |         2.95         |          8          
       188BET        |         2.48         |         2.79         |         2.97         |          8          
       1xBet         |         2.64         |         2.70         |         3.08         |          8          
      888sport       |         2.45         |         2.85         |         2.95         |          8          
    bet-at-home      |         2.50         |         2.75         |         2.95         |          8          
       bet365        |         2.37         |         2.87         |         2.90         |          8          
      Betfair        |         2.45         |         2.75         |         3.10         |          8          
      Betsafe        |         2.55         |         2.75         |         3.10         |          8          
      Betsson        |         2.55         |         2.75         |         3.10         |          8          
     BetVictor       |         2.45         |         2.80         |         3.10         |          8          
       Betway        |         2.40         |         2.75         |         3.10         |          8          
        bwin         |         2.37         |         2.70         |         3.30         |          8          
       ComeOn        |         2.50         |         2.70         |         2.95         |          8          
    Interwetten      |         2.50         |         2.70         |         2.95         |          8          
      Pinnacle       |         2.65         |         2.79         |         3.24         |          8          
       SBOBET        |         2.42         |         2.68         |         2.77         |          8          
       Unibet        |         2.45         |         2.85         |         2.95         |          8          
    William Hill     |         2.50         |         2.62         |         3.10         |          8          
       youwin        |         2.55         |         2.85         |         3.10         |          8          
  Betfair Exchange   |         2.63         |         2.82         |         3.19         |          8          
       10Bet         |         2.80         |         2.65         |         2.75         |          9          
       188BET        |         2.78         |         2.70         |         2.70         |          9          
       1xBet         |         2.92         |         2.55         |         2.88         |          9          
      888sport       |         2.50         |         2.88         |         2.88         |          9          
    bet-at-home      |         2.75         |         2.65         |         2.75         |          9          
       bet365        |         2.70         |         2.75         |         2.70         |          9          
      Betfair        |         2.80         |         2.80         |         2.75         |          9          
      Betsafe        |         2.90         |         2.60         |         2.85         |          9          
      Betsson        |         2.90         |         2.60         |         2.85         |          9          
     BetVictor       |         2.70         |         2.88         |         2.70         |          9          
